																							
0
// ----------------------------------------------------------------------------------
// 	MinLvl	MaxLvl	Experience
// ----------------------------------------------------------------------------------																										
	0	10	2500																								
	11	20	5000																								
	21	30	10000																								
	31	40	20000																								
	41	50	40000																								
	51	60	60000																								
	61	70	80000																								
	71	80	100000																								
	81	90	120000																								
	91	100	140000																								
	101	110	160000																								
	111	120	180000																								
	121	130	200000																								
	131	140	220000																								
	141	150	240000																								
	151	160	260000																								
	161	170	280000																								
	171	180	300000																								
	181	190	330000																								
	191	200	340000																								
	201	210	350000																								
	211	220	360000																								
	221	230	370000																								
	231	240	380000																								
	241	250	390000																								
	251	260	400000																								
	261	270	410000																								
	271	280	420000																								
	281	290	430000																								
	291	300	440000																								
	301	310	450000																								
	311	320	460000																								
	321	330	470000																								
	331	340	480000																								
	341	350	490000																								
	351	360	490000																								
	361	370	490000																								
	371	380	490000																								
	381	390	490000																								
	391	400	490000																								
	401	410	490000																								
	411	420	490000																								
	421	430	490000																								
	431	440	490000																								
	441	450	490000																								
	451	460	490000																								
	461	470	490000																								
	471	480	490000																								
	481	490	490000																								
	491	500	500000																								
	501	510	500000																								
	511	520	500000																								
	521	530	500000																								
	531	540	500000																								
	541	550	500000																								
	551	560	500000																								
	561	570	500000																								
	571	580	500000																								
	581	590	500000																								
	591	600	500000																								
	601	610	600000																								
	611	620	610000																								
	621	630	620000																								
	631	640	630000																								
	641	650	640000																								
	651	660	650000																								
	661	670	660000																								
	671	680	670000																								
	681	690	680000																								
	691	700	690000																								
	701	750	700000																								
end
