1
//--------------------------------------------------------------------------------------------------------------------------------------------
//	#	PackId	Index 	iType	iIndex	iLevel	iDur	iSkill	iLuck	iOpt	iExc	iAnc	Type	TIME	Key1	Key2	Key3
//--------------------------------------------------------------------------------------------------------------------------------------------
// DK Starter Pack
	61	23	160	0	5	0	0	0	1	0	32	0	0	0	111	61	173
	62	23	161	7	5	0	0	0	1	0	8	0	0	0	111	62	174
	63	23	162	8	5	0	0	0	1	0	8	0	0	0	111	63	175
	64	23	163	9	5	0	0	0	1	0	8	0	0	0	111	64	176
	65	23	164	10	5	0	0	0	1	0	8	0	0	0	111	65	177
	66	23	165	11	5	0	0	0	1	0	8	0	0	0	111	66	178
	67	23	166	12	134	0	0	0	0	0	0	0	0	0	111	67	179
	68	23	167	12	215	0	0	0	1	0	0	0	0	0	111	68	180
	69	23	168	13	9	0	0	0	0	2	1	0	0	0	111	69	181
	70	23	169	13	44	0	0	0	0	0	0	0	1	43200	111	70	182
end
