//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//###########################################
// Devil Square Event
//###########################################

// CloseTime, OpenTime, PlayTime
0
35	5	20
end

// Event Monster Settings
// Square, MonsterId, StartTime, EndTime
1
0	17	0	7
0	15	0	7

0	5	5	14

0	13	5	14

0	8	12	20

0	36	12	20


1	10	0	7
1	39	0	7

1	34	5	14

1	41	5	14

1	40	12	20
1	35	12	20


2	41	0	7

2	37	0	7

2	35	5	14

2	180	5	14
2	64	12	20

2	65	12	20


3	64	0	7

3	65	0	7

3	60	5	14
3	294	5	14

3	57	12	20
3	70	12	20

4	294	0	7

4	60	0	7
4	71	5	14
4	190	5	14
4	61	12	20
4	73	12	20

5	290	0	7

5	57	0	7
5	70	5	14
5	293	5	14
5	74	12	20
5	292	12	20


6	434	0	7
6	435	0	7
6	436	5	14
6	437	5	14
6	438	12	20
6	439	12	20
end

// Event Boss Settings
// Square, MonsterID, StartTime, X1, Y1, X2, Y2
2
0	18	15	119 80   150  115

0	18	15	119 80   150  115

0	18	15	119 80   150  115

0	18	15	119 80   150  115

0	18	15	119 80   150  115


1	49	15	121 152 151 184

1	49	15	121 152 151 184

1	49	15	121 152 151 184

1	49	15	121 152 151 184

1	49	15	121 152 151 184


2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173
2	67	15	49 138 79 173

3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109
3	66	15	53 74 83 109

4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115
4	291	15	120 80   150  115

5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184
5	197	15	122 152 151 184

6	440	15	50 138 79 173
6	440	15	50 138 79 173
6	440	15	50 138 79 173
6	440	15	50 138 79 173
6	440	15	50 138 79 173
end

// Reward Settings
// Square, Place, Exp, Zen
3
0	0	6000	30000
0	1	4000	25000
0	2	2000	20000
0	3	1000	15000
	
1	0	8000	40000
1	1	6000	35000
1	2	4000	30000
1	3	2000	25000

2	0	10000	50000
2	1	8000	45000
2	2	6000	40000
2	3	4000	35000

3	0	20000	60000
3	1	10000	55000
3	2	8000	50000
3	3	6000	45000

4	0	22000	70000
4	1	20000	65000
4	2	10000	60000
4	3	8000	55000

5	0	24000	80000
5	1	22000	75000
5	2	20000	70000
5	3	10000	65000

6	0	26000	150000
6	1	24000	140000
6	2	22000	120000
6	3	20000	90000
end

// Event Start Time
// Hour, Minute
4
0	00
2	00
4	00
6	00
8	00
10	00
12	00
14	00
16	00
18	00
20	00
22	00
end

// Reward Multiplier
5
0	1.0			// 1 Square

1	1.0			// 2 Square

2	1.0			// 3 Square

3	1.0			// 4 Square

4	1.0			// 5 Square

5	1.0			// 6 Square

6	1.0			// 7 Square

end
