//############################################
// POWERED BY MU ENGINE                                    //
//                    WWW.MUENGINE.ORG                      //
//###########################################

//旨收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旬
//早 Maya Hands Drop Settings                                                     早
//曲收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收收旭
//---------------------------------------------------------------------------------
// MapSettings
//---------------------------------------------------------------------------------
0
//[MapIndex] [Drop Flag] [Min Monster Level] [Max MonsterLevel]
	0	0	0	1000	//	Lorencia
	1	0	0	1000	//	Dungeon
	2	0	0	1000	//	Devias
	3	0	0	1000	//	Noria
	4	0	0	1000	//	Losttower
	5	0	0	1000	//	Exile
	6	0	0	1000	//	Stadium
	7	0	0	1000	//	Atlans
	8	0	0	1000	//	Tarkan
	9	0	0	1000	//	Devil Square
	10	0	0	1000	//	Icarus
end
//---------------------------------------------------------------------------------
// Drop Settings
//---------------------------------------------------------------------------------
1
//[EventName] [DropZen] [EventItemType] [EventItemIndex] [EventItemLevel] [EventItemDropRate] [ItemDropRate] [ExItemDropRate]
          "MayaHands"       0	                      0	0	0	              0	                                   100	          1
end
//---------------------------------------------------------------------------------
// Item Drop Settings
//---------------------------------------------------------------------------------
2
//[Index] [Type] [MinLevel] [MaxLevel] [Skill] [Luck] [Option] [ExItemflag]

	0	17	4	6	1	1	1	0	
	0	18	4	6	1	1	1	0	
	2	11	4	6	1	1	1	0	
	4	19	4	6	1	1	1	0	
	5	9	4	6	1	1	1	0	
	0	14	0	0	1	0	0	2	
	5	5	0	0	1	0	0	2	
	4	14	0	0	1	0	0	2	
	4	16	0	0	1	0	0	2	
	2	9	0	0	1	0	0	2	
	2	4	0	0	1	0	0	2	
	2	5	0	0	1	0	0	2	
	6	15	4	6	1	0	1	0	
	6	12	0	0	1	0	0	2	
	6	16	0	0	1	0	0	2	
	7	34	4	6	0	1	1	0	
	9	34	4	6	0	1	1	0	
	10	34	4	6	0	1	1	0	
	11	34	4	6	0	1	1	0	
	7	35	4	6	0	1	1	0	
	9	35	4	6	0	1	1	0	
	10	35	4	6	0	1	1	0	
	11	35	4	6	0	1	1	0	
	7	36	4	6	0	1	1	0	
	9	36	4	6	0	1	1	0	
	10	36	4	6	0	1	1	0	
	11	36	4	6	0	1	1	0	
	9	37	4	6	0	1	1	0	
	10	37	4	6	0	1	1	0	
	11	37	4	6	0	1	1	0	
	7	38	4	6	0	1	1	0	
	9	38	4	6	0	1	1	0	
	10	38	4	6	0	1	1	0	
	11	38	4	6	0	1	1	0	
	8	17	4	6	0	1	1	0	
	9	17	4	6	0	1	1	0	
	8	18	4	6	0	1	1	0	
	9	18	4	6	0	1	1	0	
	8	19	4	6	0	1	1	0	
	9	19	4	6	0	1	1	0	
	8	20	4	6	0	1	1	0	
	9	20	4	6	0	1	1	0	
	8	27	4	6	0	1	1	0	
	9	27	4	6	0	1	1	0	
	7	16	0	0	0	0	0	2	
	9	16	0	0	0	0	0	2	
	10	16	0	0	0	0	0	2	
	11	16	0	0	0	0	0	2	
	10	17	0	0	0	0	0	2	
	11	17	0	0	0	0	0	2	
	9	3	0	0	0	0	0	2	
	8	3	0	0	0	0	0	2	
	10	18	0	0	0	0	0	2	
	11	18	0	0	0	0	0	2	
	8	14	0	0	0	0	0	2	
	9	14	0	0	0	0	0	2	
	10	19	0	0	0	0	0	2	
	11	19	0	0	0	0	0	2	
	10	15	0	0	0	0	0	2	
	11	15	0	0	0	0	0	2	
	10	26	0	0	0	0	0	2	
	9	26	0	0	0	0	0	2	
	11	26	0	0	0	0	0	2	
	14	19	4	5	0	0	0	0
	13	18	5	6	0	0	0	0	
	14	28	6	7	0	0	0	0	
end
