////////////////////////////////////////////////////////////////////////////////																													
//TextVer.1.0.8.3																													
//Version1.01-T서버																													
//Version1.01-M서버																													
//최종작업자-김서영																													
//최종작업일-2008-10-13  11:24:00 AM																													
//내용:해외 크리스마스/5차과금 추가 - 루돌프펫 반지에서 펫으로 적용																													
////////////////////////////////////////////////////////////////////////////////																													
																													
//적에게공격데미지=나의공격데미지-적의방어력																													
//적에게공격성공율=나의공격성공율-적의방어성공율																													
//적으로부터의방어성공율=나의방어성공율-적의공격성공율																													
																													
//세트속성(1:힘/2:민첩성/3:에너지/4:체력)																													
//itemSlot(-1:기본설정/0:오른손무기/1:왼손무기/2:헬멧/3:갑옷/4:바지/5:장갑/6:부츠/7:날개/8:보조유닛/9:목걸이/10:반지)																													
//skilltype(0:스킬없음/skill.txt에있는스킬Index으로설정)																													
																													
//sirial:일련번호를넣을것인가?																													
//옵션:옵션이붙을것인가?																													
//몹에게서안떨어지는아이템인가?																													
																													
//Index	Slot Skill	x	y	sirial	option	drop	Name	level	DamMin	DamMax	Speed	Dur	MagicDur	MagicPW	NLvl	Str	Dex	Eng	Hea	Cha	세트속성	흑마법사	흑기사	요정	마검사	다크로드	소환술사	
0	//검류																												
0	0	0	1	2	1	1	1	"크리스"	6	6	11	50	20	0	0	0	40	40	0	0	0	1	1	1	1	1	1	1	
1	0	0	1	3	1	1	1	"짧은검"	3	3	7	20	22	0	0	0	60	0	0	0	0	1	1	1	1	1	1	1	
2	0	0	1	3	1	1	1	"레이피어"	9	9	15	40	23	0	0	0	50	40	0	0	0	1	0	1	1	1	1	1	
3	0	20	1	3	1	1	1	"카타치"	16	16	26	35	27	0	0	0	80	40	0	0	0	1	0	1	0	1	1	0	
4	0	21	1	3	1	1	1	"자객검"	12	12	18	30	24	0	0	0	60	40	0	0	0	1	0	1	0	1	1	0	
5	0	22	1	3	1	1	1	"블레이드"	36	36	47	30	39	0	0	0	80	50	0	0	0	1	1	1	1	1	1	0	
6	0	20	1	3	1	1	1	"그라디우스"	20	20	30	20	30	0	0	0	110	0	0	0	0	1	0	1	1	1	1	0	
7	0	21	1	3	1	1	1	"펄션"	24	24	34	25	34	0	0	0	120	0	0	0	0	1	0	1	0	1	1	0	
8	0	21	1	3	1	1	1	"서펜트볼그"	30	30	40	20	36	0	0	0	130	0	0	0	0	1	0	1	0	1	1	0	
9	0	20	2	3	1	1	1	"셀러멘더검"	32	32	46	30	40	0	0	0	103	0	0	0	0	1	0	1	0	1	0	0	
10	0	22	2	4	1	1	1	"빛의검"	40	47	61	25	50	0	0	0	80	60	0	0	0	1	0	1	1	1	0	0	
11	0	20	2	3	1	1	1	"전설의검"	44	56	72	20	54	0	0	0	120	0	0	0	0	1	0	1	0	1	0	0	
13	0	22	1	3	1	1	1	"더블블레이드"	48	48	56	30	43	0	0	0	70	70	0	0	0	1	0	1	1	1	0	0	
12	0	19	2	3	1	1	1	"태양검"	56	73	98	25	66	0	0	0	140	0	0	0	0	1	0	1	0	1	0	0	
14	0	22	1	3	1	1	1	"번개검"	59	59	67	30	50	0	0	0	90	50	0	0	0	1	0	1	1	1	0	0	
15	0	23	2	3	1	1	1	"거대한검"	52	60	85	20	60	0	0	0	140	0	0	0	0	1	0	1	0	1	0	0	
