//Number	Name	DelayTime	Automata	Normal	Move	Attack	Heal	Avoid	Help	Special	Event
0											
//스테이지 내의 각 유닛의 AI 판단시 기본 행동을 표시하는 파일입니다.											
// 각 몬스터 별로 다음 행동을 판단하는 딜레이 타임, 일반 행동, 이동, 공격, 치료, 회피, 도움등에 대한 내용을 담고 있습니다. 											
// 회피는 삭제 되었슴. 											
											
											

1	"일반몬스터"	1700	1	1	8	3	5	4	-1	-1	-1
2	"다크엘프"	1700	2	1	2	3	7	4	-1	6	-1
3	"탱커"	2000	3	1	-1	9	-1	-1	-1	-1	-1
4	"발가스"	1000	1	1	2	3	5	4	-1	-1	-1
											
10	"Dummy AI"	5000	10	1	-1	-1	-1	-1	-1	-1	-1
											
// 1차 공격 AI											
11	"1다크엘프1-1"	1700	2	1	11	3	7	4	-1	6	-1
12	"1다크엘프1-2"	1700	2	1	12	3	7	4	-1	6	-1
13	"1다크엘프1-3"	1700	2	1	13	3	7	4	-1	6	-1
14	"1다크엘프1-4"	1700	2	1	14	3	7	4	-1	6	-1
15	"1다크엘프2-1"	1700	2	1	15	3	7	4	-1	6	-1
16	"1다크엘프2-2"	1700	2	1	16	3	7	4	-1	6	-1
17	"1다크엘프2-3"	1700	2	1	17	3	7	4	-1	6	-1
18	"1다크엘프2-4"	1700	2	1	18	3	7	4	-1	6	-1
19	"1다크엘프3-1"	1700	2	1	19	3	7	4	-1	6	-1
20	"1다크엘프3-2"	1700	2	1	20	3	7	4	-1	6	-1
21	"1다크엘프3-3"	1700	2	1	21	3	7	4	-1	6	-1
22	"1다크엘프3-4"	1700	2	1	22	3	7	4	-1	6	-1
											
// 2차 공격 AI											
31	"2다크엘프1-1"	1700	2	1	31	3	7	4	-1	6	-1
32	"2다크엘프1-2"	1700	2	1	32	3	7	4	-1	6	-1
33	"2다크엘프1-3"	1700	2	1	33	3	7	4	-1	6	-1
34	"2다크엘프1-4"	1700	2	1	34	3	7	4	-1	6	-1
35	"2다크엘프2-1"	1700	2	1	35	3	7	4	-1	6	-1
36	"2다크엘프2-2"	1700	2	1	36	3	7	4	-1	6	-1
37	"2다크엘프2-3"	1700	2	1	37	3	7	4	-1	6	-1
38	"2다크엘프2-4"	1700	2	1	38	3	7	4	-1	6	-1
39	"2다크엘프3-1"	1700	2	1	39	3	7	4	-1	6	-1
40	"2다크엘프3-2"	1700	2	1	40	3	7	4	-1	6	-1
41	"2다크엘프3-3"	1700	2	1	41	3	7	4	-1	6	-1
42	"2다크엘프3-4"	1700	2	1	42	3	7	4	-1	6	-1
											
51	"탱커1-1"	2000	3	1	-1	51	-1	-1	-1	-1	-1
52	"탱커1-2"	2000	3	1	-1	52	-1	-1	-1	-1	-1
53	"탱커2-1"	2000	3	1	-1	53	-1	-1	-1	-1	-1
54	"탱커2-2"	2000	3	1	-1	54	-1	-1	-1	-1	-1
55	"탱커3-1"	2000	3	1	-1	55	-1	-1	-1	-1	-1
56	"탱커3-2"	2000	3	1	-1	56	-1	-1	-1	-1	-1

end											
			// Automata 번호								
					// AI Element 번호						

