//아틀란스 습격						
//일반아이템						
	12	15	6	0	0	0
	14	14	6	0	0	0
	14	13	6	0	0	0
	14	16	6	0	0	0
	7	1	6	0	0	0
	8	1	6	0	0	0
	9	1	6	0	0	0
	10	1	6	0	0	0
	11	1	6	0	0	0
	7	14	6	0	0	0
	8	14	6	0	0	0
	9	14	6	0	0	0
	10	14	6	0	0	0
	11	14	6	0	0	0
	7	3	6	0	0	0
	8	3	6	0	0	0
	9	3	6	0	0	0
	10	3	6	0	0	0
	11	3	6	0	0	0
	6	13	6	0	0	0
	5	5	6	0	0	0
	4	14	6	0	0	0
	4	13	6	0	0	0
	2	5	6	0	0	0
	2	4	6	0	0	0
	3	9	6	0	0	0
//엑설런트						
	13	8	0	0	1	0
	13	9	0	0	1	0
	13	12	0	0	1	0
	13	13	0	0	1	0
	7	9	0	0	1	0
	8	9	0	0	1	0
	9	9	0	0	1	0
	10	9	0	0	1	0
	11	9	0	0	1	0
	7	13	0	0	1	0
	8	13	0	0	1	0
	9	13	0	0	1	0
	10	13	0	0	1	0
	11	13	0	0	1	0
	3	4	0	0	1	0
	0	14	0	0	1	0
	4	5	0	0	1	0
	5	4	0	0	1	0
	2	8	0	0	1	0  //Battle Scepter
	7 	25	0 	0  	1 	0 //Embroidered Helm
	8 	25 	0 	0  	1 	0 //Embroidered Armor
	9 	25 	0 	0  	1 	0 //Embroidered Pants
	10 	25 	0 	0  	1 	0 //Embroidered Gloves
	11 	25 	0 	0  	1 	0 //Embroidered Boots
