////////////////////////////////////////////////////////////////////////////////																													
// Text Ver. 1.1.3.8																													
// Version 1.01  - T辑滚																													
// Version 1.02.00++  - M辑滚																													
// 弥辆 累诀磊 - 捞刮沥																													
// 弥辆 累诀老 - 2005-12-07  11:05:20 AM																													
// 郴侩 : 奇副 胶懦 _ 昏力(付唱樊, 掉饭捞荐沥, AG 眠啊)																													
////////////////////////////////////////////////////////////////////////////////																													
																													
//加己1 [-1(绝澜), 0(倔澜), 1(刀), 2(锅俺), 3(阂), 4(顶), 5(官恩), 6(拱)]																													
//加己2 [-1(绝澜), 0(拱府), 1(付过)]																													
// SkillBrand [漂沥 胶懦捞 乐绢具瘤父 荤侩捞 啊瓷]																													
// Skilltype [0(老馆胶懦), 1(流氓胶懦)]																													
																													
//				    荤侩付唱樊			
//锅龋	Name		饭骇	单固瘤	   绢呼府萍  芭府	Delay	Eng	Cha	加己	加己2	SkilluseType	SkillBrand	KillCout	辨付	何辨付	海撇付胶磐	孺付过荤	孺扁荤	夸沥	付八荤	促农肺靛							
1	"毒咒"	30	12	42	0	6	0	100	0	1	1	0	0	0	0	0	0	1	0	0	1	0
2	"陨石击"	21	21	12	0	6	0	100	0	4	1	0	0	0	0	0	0	1	0	0	1	0
3	"雷电"	13	17	15	0	6	0	100	0	2	1	0	0	0	0	0	0	1	0	0	1	0
4	"火球"	5	8	3	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0
5	"火龙术"	35	25	50	0	6	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0
6	"瞬间移动"	17	0	30	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	0	0
7	"冰封术"	25	10	38	0	6	0	100	0	0	1	0	0	0	0	0	0	1	0	0	1	0
8	"龙卷风"	40	35	60	0	6	0	100	0	5	1	0	0	0	0	0	0	1	0	0	1	0
9	"黑龙波"	50	45	90	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0
10	"地狱火"	60	120	160	0	0	0	100	0	3	1	0	0	0	0	0	0	1	0	0	1	0
11	"真空波"	9	14	5	0	6	0	100	0	-1	1	0	0	0	0	0	0	1	0	0	1	0
12	"极光"	74	80	140	0	6	0	110	0	6	1	0	0	0	0	0	0	1	0	0	1	0
13	"爆炎"	80	70	150	0	3	0	150	0	2	1	0	0	0	0	0	0	1	0	0	1	0
14	"毁灭烈焰"	88	100	200	0	0	0	200	0	3	1	0	0	0	0	0	0	1	0	0	1	0
15	"小挪移"	83	0	90	25	6	0	188	0	-1	1	0	0	0	0	0	0	2	0	0	0	0
16	"守护之魂"	77	0	70	22	6	0	126	0	-1	1	0	0	0	0	0	0	1	0	0	0	0
17	"能量球"	2	3	1	0	6	0	0	0	-1	1	0	0	0	0	0	0	1	0	0	1	0
18	"圣盾防御"	0	0	30	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1	0	1	1
19	"地裂斩"	0	0	9	0	3	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1
20	"牙突刺"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1
21	"升龙击"	0	0	8	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1
22	"旋风斩"	0	0	9	0	2	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	1	1
23	"天地十字剑"	0	0	10	0	2	0	100	0	-1	0	0	0	0	0	0	0	0	1	0	1	1
24	"多重射击"	0	0	5	0	6	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0
26	"治疗"	8	0	20	0	6	0	100	0	-1	0	0	0	0	0	0	0	0	0	1	0	0
27	"防御力提高"	13	0	30	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0
28	"攻击力提高"	18	0	40	0	6	0	100	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0

30	"召唤 哥布林"	0	0	40	0	0	0	90	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0
31	"召唤 石巨人"	0	0	70	0	0	0	170	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0
32	"召唤 暗杀者"	0	0	110	0	0	0	190	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0
33	"召唤 雪人王"	0	0	160	0	0	0	230	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0
34	"召唤 死神骑士"	0	0	200	0	0	0	250	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0
35	"召唤 巴里"	0	0	250	0	0	0	260	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0
36	"召换 黄金斗士"	0	0	350	0	0	0	280	0	-1	-1	0	0	0	0	0	0	0	0	1	0	0

38	"冰风暴术"	96	95	110	7	6	0	243	0	1	1	0	0	0	0	0	0	2	0	0	0	0
39	"毒咒术"	93	80	100	5	6	0	223	0	0	1	0	0	0	0	0	0	2	0	0	0	0
40	"星辰一怒"	100	0	180	45	6	0	258	0	3	1	0	0	0	0	0	0	2	0	0	0	0
41	"霹雳回旋斩"	0	0	10	10	2	0	0	0	5	0	0	0	0	0	0	0	0	1	0	1	0
42	"雷霆裂闪"	170	60	25	20	3	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	0
43	"袭风刺"	160	70	15	12	2	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0
44	"半月斩"	0	90	22	15	4	0	0	0	-1	-1	0	75	0	0	0	0	0	1	0	0	0
45	"回旋刃"	0	90	150	10	6	0	0	0	-1	-1	0	75	0	0	0	0	1	0	0	0	0

46	"天堂之箭"	0	120	20	15	8	0	0	0	-1	-1	0	75	0	0	0	0	0	0	1	0	0
