2
1	11	100	0	0	0	13	54	0	20	1	1	0	0	0	0	0	0	100	111	1	113	1	0	255	255	255	255	255	255	0
2	11	101	0	0	0	13	55	0	20	1	1	0	0	0	0	0	0	100	111	2	114	1	0	255	255	255	255	255	255	0
3	11	102	0	0	0	13	56	0	20	1	1	0	0	0	0	0	0	100	111	3	115	1	0	255	255	255	255	255	255	0
4	11	103	0	0	0	13	57	0	20	1	1	0	0	0	0	0	0	100	111	4	116	1	0	255	255	255	255	255	255	0
5	11	104	0	0	0	13	58	0	20	1	1	0	0	0	0	0	0	100	111	5	117	1	0	255	255	255	255	255	255	0
6	11	105	0	0	0	14	53	0	1	1	1	0	0	0	0	0	0	10	111	6	118	1	0	255	255	255	255	255	255	0
7	11	106	0	0	0	14	96	0	0	1	1	0	0	0	0	0	0	200	111	7	119	1	0	255	255	255	255	255	255	0
8	11	107	0	0	0	14	162	0	0	1	1	0	0	0	0	0	0	250	111	8	120	1	0	255	255	255	255	255	255	0
9	11	108	0	0	0	14	163	0	0	1	1	0	0	0	0	0	0	500	111	9	121	1	0	255	255	255	255	255	255	0
10	14	109	0	0	0	13	80	0	255	1	1	0	0	0	0	0	0	200	111	10	122	1	0	255	255	255	255	255	255	0
11	14	110	0	0	0	13	123	0	255	1	1	0	0	0	1	1440	0	100	111	11	123	1	0	255	255	255	255	255	255	0
12	14	111	0	0	0	13	123	0	255	1	1	0	0	0	1	10080	0	600	111	12	124	1	0	255	255	255	255	255	255	0
end
